"","FOLIO","SEXO","OPC_ED01"
"1","010100110","M","S805000"
"2","010100340","H","S477039"
"3","010101268","H","S574015"
"4","010103113","M","S132313"
"5","010104687","M","S458044"
"6","010105030","M","S477070"
"7","010105843","H","S477035"
"8","010107660","H","S711000"
"9","010108000","M","S477070"
"10","010130042","H","S567060"
"11","010130199","H","S132313"
"12","010130578","H","S458044"
"13","010131562","M","S458044"
"14","010131978","M","S477046"
"15","010136371","M","S458044"
"16","010139207","M","S458044"
"17","010139308","H","S458044"
"18","010139433","H","S724000"
"19","010140520","H","S477039"
"20","010140699","H","S132313"
"21","010141098","M","S715000"
"22","010141225","H","S132302"
"23","010144692","H","S477046"
"24","010204310","M","S825000"
"25","010204485","H","S477046"
"26","010204919","M","S134313"
"27","010205491","H","S557094"
"28","010205529","H","S711000"
"29","010206832","M","S132302"
"30","010207187","H","S574015"
"31","010209719","M","S132313"
"32","010209961","M","S458044"
"33","010210324","H","S458044"
"34","010210366","H","S477070"
"35","010212877","M","S477070"
"36","010212898","M","S711000"
"37","010213660","M","S477070"
"38","010215992","M","S574087"
"39","010219456","H","S573087"
"40","010220468","M","S456036"
"41","010220508","M","S477035"
"42","010221239","M","S477046"
"43","010221675","M","S132313"
"44","010222008","M","S132313"
"45","010224340","H","S846000"
"46","010225333","H","S846000"
"47","010225641","H","S825000"
"48","010225690","M","S134313"
"49","010226520","H","S132313"
"50","010226649","H","S477035"
"51","010227839","H","S846000"
"52","010230111","H","S467092"
"53","010231633","M","S477070"
"54","010231713","M","S715000"
"55","010233280","M","S477046"
"56","010233317","M","S574087"
"57","010234371","H","S477046"
"58","010234674","M","S134313"
"59","010234840","H","S705000"
"60","010235822","H","S477046"
"61","010236764","M","S724000"
"62","010238452","M","S715000"
"63","010238724","H","S456076"
"64","010239726","H","S574087"
"65","010240871","M","S134313"
"66","010240902","M","S132302"
"67","010248282","H","S715000"
"68","010248675","H","S467092"
"69","010249779","M","S456036"
"70","010250147","M","S458044"
