"","CVE_OPC","SEXO","gen_demanda"
"1","S054000","H",334
"2","S054000","M",401
"3","S132302","H",205
"4","S132302","M",150
"5","S132313","H",175
"6","S132313","M",458
"7","S134306","H",55
"8","S134306","M",36
"9","S134311","H",80
"10","S134311","M",12
"11","S134313","H",161
"12","S134313","M",446
"13","S150340","H",88
"14","S150340","M",9
"15","S452069","H",11
"16","S452069","M",52
"17","S456036","H",40
"18","S456036","M",48
"19","S456076","H",114
"20","S456076","M",15
"21","S458044","H",93
"22","S458044","M",205
"23","S463070","H",72
"24","S463070","M",61
"25","S464044","H",67
"26","S464044","M",216
"27","S467092","H",61
"28","S467092","M",14
"29","S473044","H",81
"30","S473044","M",226
"31","S477035","H",62
"32","S477035","M",175
"33","S477039","H",79
"34","S477039","M",72
"35","S477046","H",139
"36","S477046","M",61
"37","S477070","H",144
"38","S477070","M",166
"39","S554013","H",65
"40","S554013","M",58
"41","S555092","H",67
"42","S555092","M",14
"43","S557087","H",29
"44","S557087","M",20
"45","S557094","H",49
"46","S557094","M",37
"47","S567060","H",107
"48","S567060","M",46
"49","S567087","H",69
"50","S567087","M",39
"51","S571086","H",50
"52","S571086","M",46
"53","S573013","H",137
"54","S573013","M",208
"55","S573087","H",127
"56","S573087","M",58
"57","S574015","H",163
"58","S574015","M",74
"59","S574087","H",240
"60","S574087","M",268
"61","S575020","H",84
"62","S575020","M",190
"63","S575094","H",166
"64","S575094","M",160
"65","S705000","H",157
"66","S705000","M",272
"67","S709000","H",45
"68","S709000","M",107
"69","S711000","H",325
"70","S711000","M",351
"71","S715000","H",462
"72","S715000","M",643
"73","S724000","H",404
"74","S724000","M",561
"75","S763000","H",194
"76","S763000","M",343
"77","S805000","H",172
"78","S805000","M",273
"79","S825000","H",309
"80","S825000","M",342
"81","S846000","H",120
"82","S846000","M",174
