"FOLIO","SEXO","OPC_ED01"
10100110,"M","S805000"
10101268,"H","S574015"
10130042,"H","S567060"
10130199,"H","S132313"
10130578,"H","S458044"
10131562,"M","S458044"
10139433,"H","S724000"
10141098,"M","S715000"
10204919,"M","S134313"
10206832,"M","S132302"
10209719,"M","S132313"
10212898,"M","S711000"
10213660,"M","S477070"
10225333,"H","S846000"
10225690,"M","S134313"
10226520,"H","S132313"
10226649,"H","S477035"
10231633,"M","S477070"
10231713,"M","S715000"
10248282,"H","S715000"
10249779,"M","S456036"
10305975,"H","S724000"
10308896,"H","S456076"
10310148,"H","S575094"
10312354,"M","S724000"
10312908,"H","S132313"
10316074,"H","S574087"
10318117,"M","S132313"
10318579,"M","S134313"
10318752,"M","S711000"
10320809,"H","S567060"
10321875,"M","S132313"
10322312,"M","S715000"
10322629,"H","S724000"
10324527,"M","S724000"
10327957,"M","S458044"
10331256,"H","S132313"
10342016,"M","S132313"
10343022,"M","S477070"
10346627,"H","S463070"
10347450,"M","S464044"
10349752,"M","S846000"
10405456,"H","S477035"
10406006,"M","S711000"
10406080,"H","S715000"
10412857,"H","S724000"
10414686,"H","S763000"
10419890,"H","S763000"
10420367,"H","S467092"
10436364,"M","S477035"
10441135,"M","S477070"
10441686,"M","S132302"
10443017,"M","S574087"
10448220,"H","S477070"
10508769,"M","S574015"
10513309,"M","S473044"
10518790,"M","S134313"
10518934,"H","S574015"
10526234,"H","S724000"
10528236,"M","S458044"
10530475,"M","S477070"
10531909,"M","S477070"
10533064,"H","S711000"
10535595,"M","S573013"
10538657,"M","S846000"
10544719,"H","S724000"
10545917,"M","S557094"
10546875,"M","S846000"
10608067,"H","S724000"
10611252,"M","S458044"
10612819,"H","S477070"
10613072,"M","S132313"
10614958,"M","S763000"
10628708,"M","S132313"
10629001,"M","S134313"
10630491,"M","S477070"
10642509,"H","S715000"
10647787,"H","S715000"
10650095,"M","S711000"
10704869,"M","S134313"
10707217,"M","S575094"
10709368,"M","S132302"
10712413,"M","S477070"
10715845,"H","S846000"
10717268,"M","S477035"
10719503,"M","S477039"
10721057,"M","S715000"
10722867,"H","S555092"
10723818,"H","S715000"
10724359,"H","S477039"
10728879,"H","S456036"
10729108,"M","S464044"
10729692,"M","S705000"
10730532,"M","S724000"
10740500,"H","S575020"
10805989,"H","S477035"
10807338,"M","S573013"
10808222,"H","S467092"
10809062,"M","S473044"
10809107,"M","S477039"
10809476,"M","S573013"
10811179,"M","S477070"
10812841,"M","S458044"
10820331,"M","S134313"
10823900,"M","S715000"
10825207,"H","S763000"
10829091,"M","S134313"
10830749,"M","S574087"
10831388,"M","S763000"
10833828,"H","S715000"
10835002,"H","S473044"
10838780,"M","S574015"
10842141,"M","S458044"
10905561,"H","S574087"
10906103,"H","S711000"
10912756,"M","S477070"
10913377,"H","S846000"
10919738,"H","S724000"
10923110,"M","S456036"
10923348,"M","S575094"
10926809,"H","S477070"
10928426,"M","S477070"
10928455,"H","S132313"
10930330,"M","S134313"
10935286,"M","S763000"
10936212,"M","S458044"
10939753,"M","S477046"
10941858,"M","S715000"
10942070,"H","S477046"
10942725,"M","S477035"
10942911,"H","S567087"
10943086,"M","S132302"
11004890,"H","S132313"
11005109,"M","S134313"
11005944,"M","S054000"
11012267,"M","S477039"
11013484,"H","S458044"
11021062,"H","S477070"
11023894,"M","S473044"
11027746,"H","S456076"
11030754,"M","S477035"
11031263,"M","S724000"
11035852,"M","S458044"
11042107,"H","S705000"
11049836,"M","S477070"
11106719,"H","S132313"
11106798,"H","S711000"
11107416,"H","S477070"
11108585,"H","S134313"
11110682,"M","S573013"
11111595,"M","S134313"
11112323,"H","S477039"
11112572,"H","S724000"
11118051,"H","S724000"
11118216,"H","S575094"
11125737,"M","S477070"
11129863,"M","S567060"
11130586,"H","S463070"
11134718,"M","S724000"
11136535,"H","S477035"
11139140,"M","S132313"
11140672,"H","S724000"
11141104,"M","S846000"
11141463,"M","S715000"
11144164,"H","S724000"
11147276,"H","S575020"
11206222,"M","S132313"
11209348,"H","S724000"
11210495,"M","S724000"
11215337,"H","S467092"
11220515,"H","S132313"
11223714,"M","S132313"
11225747,"H","S132302"
11230516,"H","S458044"
11230941,"H","S458044"
11233358,"M","S724000"
11233839,"H","S134313"
11234526,"M","S715000"
11234898,"M","S477035"
11237488,"H","S456036"
11240627,"H","S132313"
11241685,"H","S458044"
11245141,"H","S132313"
11248503,"M","S724000"
11249877,"H","S715000"
11309514,"H","S458044"
11316769,"H","S477070"
11318590,"H","S724000"
11320641,"M","S477070"
11331568,"H","S575094"
11332155,"H","S711000"
11334644,"M","S711000"
11337505,"M","S724000"
11407373,"H","S575020"
11408833,"M","S574015"
11409504,"H","S477070"
11410643,"M","S846000"
11411439,"H","S574015"
11413594,"M","S846000"
11416519,"M","S715000"
11419590,"M","S458044"
11419838,"M","S715000"
11422416,"H","S477070"
11427470,"H","S456076"
11429198,"M","S132313"
11429935,"M","S134313"
11433853,"M","S575094"
11435273,"M","S477039"
11436998,"M","S477035"
11437688,"M","S456036"
11440196,"H","S458044"
11442024,"H","S711000"
11443955,"H","S467092"
11444968,"H","S573013"
11446336,"M","S134313"
11513890,"M","S132313"
11520665,"M","S132313"
11527921,"M","S846000"
11542260,"M","S132313"
11542580,"M","S458044"
11546837,"M","S477070"
11547035,"M","S134306"
11612538,"M","S715000"
11613872,"M","S715000"
11614157,"M","S715000"
11614684,"H","S132302"
11618461,"M","S763000"
11621060,"M","S477035"
11623851,"M","S456036"
11625937,"M","S715000"
11630877,"M","S846000"
11637319,"M","S574015"
11638195,"M","S132313"
11642604,"H","S567087"
11646012,"H","S132313"
11706504,"H","S134313"
11706881,"M","S763000"
11710073,"H","S477070"
11715041,"M","S724000"
11716018,"M","S715000"
11719252,"H","S715000"
11726263,"H","S574087"
11729842,"M","S715000"
11735806,"M","S846000"
11736430,"M","S715000"
11738165,"M","S705000"
11745125,"H","S574087"
11746173,"M","S134313"
11746669,"M","S134313"
11811047,"H","S574087"
11815789,"M","S711000"
11820129,"H","S473044"
11826148,"M","S763000"
11829456,"M","S724000"
11829697,"H","S715000"
11829883,"M","S724000"
11835032,"M","S134313"
11838205,"H","S711000"
11840708,"H","S575094"
11844138,"M","S458044"
11846304,"H","S458044"
11849094,"M","S711000"
11849592,"H","S763000"
11910451,"H","S715000"
11923359,"H","S132313"
11924438,"M","S132313"
11924611,"H","S846000"
11924745,"M","S715000"
11927332,"M","S054000"
11927408,"M","S715000"
11931033,"M","S575020"
11940318,"M","S477035"
11941357,"M","S458044"
11941550,"M","S458044"
11941965,"M","S132313"
11944585,"H","S132313"
12014274,"M","S715000"
12015983,"H","S711000"
12021700,"M","S715000"
12031462,"M","S132313"
12034236,"H","S573013"
12039924,"H","S574015"
12112411,"H","S477046"
12113029,"H","S573013"
12113605,"M","S724000"
12117526,"H","S463070"
12121353,"M","S458044"
12122518,"H","S477070"
12123382,"M","S477070"
12124982,"M","S134313"
12125496,"M","S458044"
12126196,"M","S763000"
12130917,"M","S715000"
12133057,"M","S134313"
12135298,"H","S557094"
12136222,"H","S132313"
12136702,"M","S458044"
12137696,"H","S132302"
12138409,"M","S763000"
12144801,"M","S724000"
12145783,"M","S846000"
12145903,"H","S724000"
12147008,"M","S573013"
12207015,"M","S132313"
12210363,"H","S456076"
12214621,"H","S458044"
12214981,"M","S477070"
12218315,"H","S132313"
12220574,"M","S477070"
12223886,"M","S724000"
12229827,"M","S573013"
12233784,"H","S724000"
12234000,"H","S132313"
12239755,"M","S132313"
12245305,"H","S573013"
12311105,"M","S132313"
12313852,"H","S463070"
12316737,"M","S846000"
12317533,"M","S134313"
12319373,"M","S705000"
12325774,"H","S134313"
12326006,"H","S711000"
12330124,"M","S132302"
12334082,"M","S846000"
12337893,"H","S458044"
12338318,"M","S763000"
12348405,"M","S473044"
12409702,"H","S724000"
12411444,"H","S574015"
12412309,"M","S711000"
12415896,"H","S711000"
12417447,"M","S132313"
12420915,"H","S575094"
12422149,"H","S575094"
12425311,"M","S132313"
12425598,"H","S575020"
12432195,"M","S724000"
12432465,"M","S846000"
